NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM),MEASUREMENT
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.37_1,1800,7.0 x 5.7,2.8 x 2.2
Samuel Griffin,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2000_4Griffin_d1,1770,76.2 x 63.5,30.0 x 25.0
Henry Cruger,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_117Cruger-000001,1770,2.8 x 2.5,1.1 x 1.0
Benjamin West,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_136West-000004,1770,54 x 47,21.3 x 18.5
William Carmichael,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_49_int,1770,6 x 3.8,2.4 x 1.5
Daniel Leonard,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-A8000002A_1,1770,3.8 x 3.5,1.5 x 1.4
The Clergyman,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.5.7_1,1770,75.9 x 63.5,29.9 x 25.0
Sir Guy Carelton,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.20_1,1770,3.8 x 3.2,1.5 x 1.3
Colonial Soldier,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.14_1,1770,3.6 x 2.8,1.4 x 1.1
Nur Jahan,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.352_1,1770,28.9 x 19.3,11.4 x 7.6
The Wiley Family,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-2006.12.2_1,1771,91.4 x 120.7,36.0 x 47.5
David Ramsay,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-B4000160A_2,1771,53.7 × 48.6,21.1 x 19.1
Miss Kirkpatrick,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1906.9.17_1,1772,73.6 x 60.9,29.0 x 24.0
Charles Cotesworth Pinckney,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_67_1Pinckney_d1,1773,76.7 x 64,30.2 x 25.2
Carter Braxton,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_98_33Braxton-000001,1775,6 x 4.1,2.4 x 1.6
Joseph Galloway,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_33_int-000001,1775,5.1 x 3.5,2.0 x 1.4
Portrait of a Lady,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1954.6.5_1,1775,6.0 x 6.0,2.4 x 2.4
Mrs. James Smith and Grandson,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.93_1,1776,92.4 x 74.3,36.4 x 29.3
Helen Brought to Paris,Painting,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1969.33_1,1776,143.3 x 198.3,56.4 x 78.1
Colonel John Cox,Miniature,1770-1779,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.32_1,1778,3.7 x 3.0,1.5 x 1.2
John Paul Jones,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_10Jones_int,1780,7.3 x 5.4,2.9 x 2.1
John Laurens,Miniature,1780-1789,"https://ids.si.edu/ids/iiif/NPG-NPG_2009_111/full/250,/0/default.jpg",1780,3.8 x 2.9,1.5 x 1.1
Daniel Morgan,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_3Morgan-000002,1780,76.2 x 61,30.0 x 24.0
"Louis-Guillaume Otto, comte de Mosloy",Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.6_1,1780,3.5 x 2.5,1.4 x 1.0
Portrait of a Lady,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.2_1,1780,2.9 x 3.2,1.1 x 1.3
Member of the Yates Family,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.1_1,1780,4.1 x 3.5,1.6 x 1.4
Mourning Locket for A. R.,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1938.7.1_1,1780,4.0 x 2.2,1.6 x 0.9
William Moultrie,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_57,1782,67.6 x 57.2,26.6 x 22.5
Henry Laurens,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_45Laurens_d1,1782,137.5 × 103 ,54.1 x 40.6
Patience Lovell Wright,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-8600336A_1,1782,125.7 x 100.2,49.5 x 39.4
Horatio Gates,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_50,1782,58.4 x 48.3,23.0 x 19.0
Caldwell Sister,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.2_1,1782,4.1 x 3.1,1.6 x 1.2
Caldwell Sister,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.1_1,1782,4.1 x 3.1,1.6 x 1.2
"Benjamin Harrison, Jr.",Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_65_109Harrison-000004,1783,76.2 x 33,30.0 x 13.0
Henry Knox,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_11,1783,55.9 x 47.6,22.0 x 18.7
George Read,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_4,1784,91.5 x 73.5,36.0 x 28.9
Samuel Blodget,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_29Blodget-000001,1784,91.8 x 71.1,36.1 x 28.0
Samuel Seabury,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_171,1785,91.4 x 71.1,36.0 x 28.0
George Washington,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_16GW-000001,1785,90.2 x 69.9,35.5 x 27.5
Benjamin Franklin,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_43,1785,72.4 x 59.7,28.5 x 23.5
Robert Morris,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_20,1785,92.4 x 74.6,36.4 x 29.4
Thomas Stone,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_71_44,1785,67.5 x 53.3,26.6 x 21.0
Portrait of General Giles,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.75_1,1785,75.2 x 63.9,29.6 x 25.2
Thomas Jefferson,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_99_66Jefferson_d1,1786,90.8 × 72.4,35.7 x 28.5
James Smithson,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_96_28Smithson1L-000001,1786,59.7 x 47,23.5 x 18.5
Thomas McKean,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_63McKean-000003,1787,69.9 x 55.9,27.5 x 22.0
Mourning Ring for William Burnside,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.56_1,1788,2.8 x 1.4,1.1 x 0.6
John Ewing,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_15,1788,95.3 x 69.9,37.5 x 27.5
General John Cadwalader,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.30_1,1788,3.9 x 3.2,1.5 x 1.3
Alexander Rose,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1946.11.6_1,1788,4.1 x 3.2,1.6 x 1.3
Mrs. Alexander Rose (Margaret Smith),Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.1_1,1788,5.1 x 4.0,2.0 x 1.6
Portrait of a Gentleman,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.36_1,1789,4.3 x 3.2,1.7 x 1.3
Col. Josiah Parker,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.3_1,1789,4.2 x 3.2,1.7 x 1.3
Josiah Hewes Anthony,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.2_1,1790,4.6 x 3.7 ,1.8 x 1.5
Frederick Augustus Conrad Muhlenberg,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_74_1,1790,119.5 x 94,47.0 x 37.0
Mourning Pin,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.79_1,1790,6.8 x 5.7,2.7 x 2.2
Captain Charles McKnight,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1968.137_1,1800,73.1 x 61.1,28.8 x 24.1
"Samuel Love, Jr.",Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.10.4_1,1800,7.3 x 5.9,2.9 x 2.3
George Washington,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2012_90GW-000001,1800,77.5 × 64.8,30.5 x 25.5
John Winthrop,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2004_1,1800,74.6 x 62.2,29.4 x 24.5
Ann Elliott Morris,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_95_116Morris_int,1800,8.1 x 6.3,3.2 x 2.5
"Col. Lewis Morris, IV",Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-9500236A_1,1800,8.1 x 6.5,3.2 x 2.6
Margaret Spear Smith,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_66_64,1800,73.7 x 61,29.0 x 24.0
Samuel Smith,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_50Smith-000002,1800,74.3 × 61.9,29.3 x 24.4
Samuel Miles,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_22-000002,1800,74.3 × 59.1,29.3 x 23.3
John Swanwick,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.2_1,1800,90.8 x 78.4,35.7 x 30.9
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.78_1,1800,6.9 x 5.3,2.7 x 2.1
Eye Miniature on an Elliptical Ivory Box,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.77_1,1800,1.9 x 3.4,0.7 x 1.3
David Livingston,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.51_1,1800,7.3 x 6.1,2.9 x 2.4
Mourning Miniature for E. W.,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1980.95.3_1,1800,5.4 x 4.3,2.1 x 1.7
"Thomas Williams, of Annapolis",Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1978.67.2_1,1800,8.2 x 6.3,3.2 x 2.5
Colonel Benjamin Stephenson,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1976.56_1,1800,7.2 x 5.3,2.8 x 2.1
Portrait of a Connecticut Clockmaker's Wife,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.3_1,1800,26.0 x 20.0,10.2 x 7.9
Portrait of a Connecticut Clockmaker,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.2_1,1800,26.1 x 20.1,10.3 x 7.9
Portrait of a Child,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1963.9.5_1,1800,6.2 x 4.9,2.4 x 1.9
William Thornton,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1960.6.1_2,1800,7.3 x 6.0,2.9 x 2.4
Portrait of a Lady,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.7.21_1,1800,5.1 x 4.1,2.0 x 1.6
Portrait of a Gentleman,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.42_1,1800,74.9 x 62.2,29.5 x 24.5
Portrait of a Boy,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.41_1,1800,68.6 x 63.5,27.0 x 25.0
Portrait of a Gentleman,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1946.9.3_1,1800,8.3 x 6.4,3.3 x 2.5
Mrs. Thomas Wilson,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.5_1,1800,7.2 x 5.8,2.8 x 2.3
Rubens Peale,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1941.9.1_1,1800,9.5 x 6.7,3.7 x 2.6
Eye of a Lady,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.315.1_1,1800,1.5 x 1.9,0.6 x 0.7
Eye,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.314.1_1,1800,3.2 x 2.5,1.3 x 1.0
Eye of a Lady,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.8.313.3_1,1800,2.1 x 2.4,0.8 x 0.9
David Wiley,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_244Wiley-000001,1801,90.2 x 64.8,35.5 x 25.5
John Dallas,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.80_1,1801,16 x 10.7,6.3 x 4.2
Mrs. Joseph Manigault (Charlotte Drayton),Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1970.296_1,1801,7.5 x 6.0,3.0 x 2.4
Elizabeth Knapp,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1937.11.1_1,1802,6.7 x 5.1,2.6 x 2.0
George Washington,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1,1803,77.4 x 64.2,30.5 x 25.3
Mr. Lawrence of Boston,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.71_1,1803,7.0 x 5.6,2.8 x 2.2
Joseph Fox,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.68_1,1790,6.4 x 5.1,2.5 x 2.0
Jonas Phillips,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_97_189-000001,1790,35.6 x 27.3,14.0 x 10.8
